ID;Invenção;Função Técnica;Integração Produtiva;Materiais Empregados;Engenharia e Normas Aplicadas;Produtividade Nominal;Operadores
T01;Forno Ecológico Bicomponente;Geração de vapor para pasteurização, secagem de fibras e condensação de extrato pirolenhoso.;Unidade base de imunização para T03, T08 e T09 via protocolo de Dequada.;Aço carbono (carenagem), Inox 304 (serpentina/riser), Tijolos refratários, Fibra cerâmica, Módulos TEG Seebeck.;Arquitetura Rocket Stove (1:2:4), NR-13 (inspiracional), Segurança Intrínseca 0 Barg (Tier N2).;15-25 L/h de vapor saturado; 3-5 L/h de extrato pirolenhoso.;2
T02;Reator Biorrefinaria (Pirólise);Carbonização termoquímica anaeróbica para produção de Biochar, Pirolenhoso e Syngas.;Fornece Biochar para os módulos T12 e Syngas para realimentação térmica do Hub N1.;Inox 316L (Retorta RAI), Aço carbono (Queimador), Sensores Termopar K, Controladores IoT.;NR-13 (Vaso de Pressão), NR-12 (Máquinas), VERRA VM0044 (Metodologia de Biochar).;200 Litros de biomassa por batelada; 10-15 L/h de extrato pirolenhoso.;5
T03;Resinador Rotativo (Multi-Eixo);Rotação síncrona de colmos para estabilização reológica de biopolímeros (PU/UV).;Acabamento final de colmos vindos de T01/T08/T09 p/ aplicação de películas protetoras.;Mandris Inox 304, Ponteiras de Poliuretano (Shore A 60-80), Estrutura Aço ASTM A36.;NR-12, Sistema multi-eixo com embreagens individuais e rotação manual redundante.;12 varas de bambu (até 6m) por ciclo de 2 horas.;3
T04;Misturador de Biocompósitos;Mistura turbulenta em eixo inclinado com aspersão atomizada de resinas vegetais.;Prepara a massa cruda de fibras e PU que alimenta as prensas T05 e T07.;Tambor Inox 304, Raspadores de PEAD (10mm), Gaxetas PTFE grafitadas.;NR-12, NBR 13930, Aspersão Tornado Airless (3000 PSI).;150 kg de biocompósito por batelada (ciclo total 20 min).;5
T05;Prensa de Cassetes Intercambiáveis;Conformação hidráulico-mecânica de tijolos, placas e painéis modulares estruturais.;Recebe a massa do Misturador T04 para produção de alvenaria de carbono fixado.;Aço A36 (Chassis), Moldes de Polipropileno (PP) usinado, Unidade Hidro-Pneumática.;NR-12, NBR 16828 (Estruturas de Bambu), NBR ISO 12100 (Segurança de Projeto).;250 unidades (tijolos/placas) por dia em operação plena.;5
T06;Gabarito de Solda Vegetal;Mesa matricial de precisão para montagem de treliças, tesouras e pórticos de bambu.;Alimenta a Prensa T07 com molduras pré-montadas via injeção de "Solda Vegetal".;Chassis metálico perfurado, Trilhos de precisão, Injetoras de PU Mamonex RD70.;NBR 16828, ART recolhida (CREA-AC), Nivelamento Laser de alta precisão (6x3m).;1 treliça estrutural complexa por turno de produção.;5
T07;Prensa Sanduíche (Plug & Play);Conformação de painéis monolíticos sanduíche com infraestrutura técnica embutida.;Industrialização de módulos habitacionais utilizando molduras do T06 e biocompósitos.;Aço A36 retificado, PU Mamonex RD70, Separadores Alumínio, Insufladores de vácuo.;NBR 16828, NBR 5410 (Elétrica), NBR 5626 (Hídrica), Protocolo de Cura UR < 90%.;2 painéis monolíticos (3,0x3,0m) por dia de operação.;5
T08;Tamboreador Polivalente;Remoção de epiderme silicosa e polimento de subprodutos via fricção rotativa mista.;Prepara colmos para T03; Fornece sílica técnica para T05; Polimento de sementes p/ artesanato.;Cilindro Aço A36 perfurado, Mídia de Casca de Castanha do Pará, Ciclone exaustor PEAD.;NR-12, Sistema de 15-30 RPM, Protocolo de Recuperação Quarta de Sílica.;24 colmos de 6m por hora; ou 100 kg de sementes por ciclo.;3
T09;Escariador Interno (Broca Longa);Usinagem axial para remoção de diafragmas (nós) e regularização vascular interna.;Essencial para a penetração de vapor no T01/T02 e injeção de PU no T06/T07.;Eixo telescópico 3,5m, Cabeça Estrela Aço-ferramenta, Escovas circulares de aço.;NR-12, NBR 16828, Embreagem de torque limitado com acionamento por pedal.;1 colmo de 6 metros a cada 10-15 minutos (sistema de inversão).;2
T10;Balsa Catamarã Soberana;Logística fluvial utilitária com propulsão solar-híbrida e cadeia de frio integrada.;Distribuição de insumos e produtos Série T entre Hub N1 e Polos territoriais N2.;Estrutura bambu trançada, Casco compósito PU/Fibras, Energia Solar 7,2 kWp.;NORMAM-02, Resiliência monobloco por densidade positiva (Inafundável).;Capacidade de 10 toneladas de carga; Autonomia 100% renovável.;4
T11;Hub Domo Fábrica Geodésica;Envoltória industrial geodésica estéril e termicamente estável para processamento florestal.;Infraestrutura de proteção para toda a linha de produção Série T em todos os polos.;Bambu Guadua (Frequência 5V), Discos Amortecedores Nylon, Resina Imperveg UG 132.;Geodésica 5V (Classe I), ART recolhida (CREA-AC), Eficiência CUB R$ 600/m².;Área industrial útil de 254 m² (18 metros de diâmetro).;N/A
T12;Módulo de Sanidade (BSM+);Saneamento ecológico seco, higiene e pasteurização hídrica/alimentar comunitária.;Utiliza Biochar de T02; Opera em regime de bio-circularidade com resíduos de bambu.;Bambu tratado, Painéis T07, Bombonas PEAD 200L, Boiler Inox a Pellets.;Protocolo de Saneamento Ecológico, Pasteurização térmica (Rocket Stove).;Atende 20-30 usuários/dia; Produção de água segura 15 L/h.;1
